        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00000000e+00,        +1.505268168174e-11,        +2.244011263605e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+00,        +1.515333535952e-11,        +2.219525626960e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +1.529991261136e-11,        +2.186933295736e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+00,        +1.548722520900e-11,        +2.147794684840e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +1.570916743706e-11,        +2.103923526351e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+00,        +1.595899340682e-11,        +2.057254691412e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +1.622953654973e-11,        +2.009726694023e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.50000000e+00,        +1.651346044171e-11,        +1.963189516979e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +1.680341352636e-11,        +1.919320283755e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e+00,        +1.709203556513e-11,        +1.879557125387e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +1.737213850276e-11,        +1.845067575685e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e+00,        +1.763669458581e-11,        +1.816716939983e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +1.787890792229e-11,        +1.795054220230e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.50000000e+00,        +1.809231817905e-11,        +1.780304959948e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e+00,        +1.827095416154e-11,        +1.772373662543e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.50000000e+00,        +1.840956952409e-11,        +1.770851798405e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e+00,        +1.850385553766e-11,        +1.775031222542e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.50000000e+00,        +1.855085797412e-11,        +1.783943480764e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+01,        +1.854926323970e-11,        +1.796403496476e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.05000000e+01,        +1.849971061973e-11,        +1.811075978877e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+01,        +1.840499777924e-11,        +1.826557005456e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.15000000e+01,        +1.827013299864e-11,        +1.841465887342e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+01,        +1.810223537471e-11,        +1.854547461447e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.25000000e+01,        +1.791016615227e-11,        +1.864752464345e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+01,        +1.770405496358e-11,        +1.871313900532e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.35000000e+01,        +1.749467141574e-11,        +1.873790204549e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+01,        +1.729274501936e-11,        +1.872077809736e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.45000000e+01,        +1.710834610737e-11,        +1.866396503465e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+01,        +1.695030830906e-11,        +1.857243889736e-11,        +0.000000000000e+00,        +0.000000000000e+00
