        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -2.649698935567e+01,        +7.871617299790e+01,        -2.655307258148e-02,        -1.354632147653e+01
 1.50000000e+00,        -2.312415911532e+01,        +7.198529232705e+01,        -4.691285668269e-02,        -2.030206153937e+01
 2.00000000e+00,        -2.083108043525e+01,        +6.528907917375e+01,        -7.106467212326e-02,        -2.703644659808e+01
 2.50000000e+00,        -1.915580528362e+01,        +5.863467438906e+01,        -9.798022222153e-02,        -3.374415270111e+01
 3.00000000e+00,        -1.789318163034e+01,        +5.202720152504e+01,        -1.264556418795e-01,        -4.042193532127e+01
 3.50000000e+00,        -1.693472581756e+01,        +4.547009015251e+01,        -1.552043738856e-01,        -4.706878577641e+01
 4.00000000e+00,        -1.621704570314e+01,        +3.896531140843e+01,        -1.829542211227e-01,        -5.368596916760e+01
 4.50000000e+00,        -1.570100723290e+01,        +3.251345460225e+01,        -2.085300474818e-01,        -6.027691304794e+01
 5.00000000e+00,        -1.536224638070e+01,        +2.611478292410e+01,        -2.309290151542e-01,        -6.684688351548e+01
 5.50000000e+00,        -1.518639209944e+01,        +1.976909898036e+01,        -2.494036673324e-01,        -7.340275687343e+01
 6.00000000e+00,        -1.516674207949e+01,        +1.347838266107e+01,        -2.634818120792e-01,        -7.995238865447e+01
 6.50000000e+00,        -1.530325414503e+01,        +7.247690844579e+00,        -2.730136997734e-01,        -8.650421306303e+01
 7.00000000e+00,        -1.560257132222e+01,        +1.088084065247e+00,        -2.781787753798e-01,        -9.306668861412e+01
 7.50000000e+00,        -1.607903183965e+01,        -4.979271633344e+00,        -2.794834851093e-01,        -9.964775834056e+01
 8.00000000e+00,        -1.675702043647e+01,        -1.091530577129e+01,        -2.777274913942e-01,        -1.062543345985e+02
 8.50000000e+00,        -1.767568111255e+01,        -1.664885654447e+01,        -2.739652375194e-01,        -1.128917820980e+02
 9.00000000e+00,        -1.889797791340e+01,        -2.204558519221e+01,        -2.694426526334e-01,        -1.195635708802e+02
 9.50000000e+00,        -2.052998187618e+01,        -2.683149202566e+01,        -2.655176891466e-01,        -1.262708947205e+02
 1.00000000e+01,        -2.276510115659e+01,        -3.036759989443e+01,        -2.635676166680e-01,        -1.330125379377e+02
 1.05000000e+01,        -2.599868417903e+01,        -3.079158715769e+01,        -2.648893475681e-01,        -1.397848605011e+02
 1.10000000e+01,        -3.107421476886e+01,        -2.017292595452e+01,        -2.705991695348e-01,        -1.465819690200e+02
 1.15000000e+01,        -3.536883707921e+01,        +3.778655090641e+01,        -2.815427257313e-01,        -1.533960944835e+02
 1.20000000e+01,        -2.939434557487e+01,        +8.027662081267e+01,        -2.982121133627e-01,        -1.602181442718e+02
 1.25000000e+01,        -2.472779408968e+01,        +8.643320813337e+01,        -3.207103115009e-01,        -1.670383573107e+02
 1.30000000e+01,        -2.164469283640e+01,        +8.491144441719e+01,        -3.487251315657e-01,        -1.738470721770e+02
 1.35000000e+01,        -1.943072368765e+01,        +8.098478868033e+01,        -3.815502995949e-01,        +1.793645255967e+02
 1.40000000e+01,        -1.775882899075e+01,        +7.604419090415e+01,        -4.181359430663e-01,        +1.726036984060e+02
 1.45000000e+01,        -1.646350575463e+01,        +7.060452609380e+01,        -4.571601145024e-01,        +1.658756294169e+02
 1.50000000e+01,        -1.545125303622e+01,        +6.489946395269e+01,        -4.971303319341e-01,        +1.591829986364e+02
