        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 1.00000000e+00,        +7.071067811865e+00,        +7.136555296013e+00,        +3.282149757233e-01,        +6.853373799993e+00,        -1.651210664006e+00
 1.50000000e+00,        +7.071067811865e+00,        +7.223684620483e+00,        +4.692963034248e-01,        +6.596065972383e+00,        -2.440228701570e+00
 2.00000000e+00,        +7.071067811865e+00,        +7.339694439742e+00,        +5.837430699779e-01,        +6.247003945103e+00,        -3.188014581078e+00
 2.50000000e+00,        +7.071067811865e+00,        +7.476678711285e+00,        +6.654025052647e-01,        +5.813825391642e+00,        -3.883815763380e+00
 3.00000000e+00,        +7.071067811865e+00,        +7.625570769193e+00,        +7.104263718370e-01,        +5.305330153628e+00,        -4.518693290156e+00
 3.50000000e+00,        +7.071067811865e+00,        +7.776801901064e+00,        +7.174107148704e-01,        +4.730949596449e+00,        -5.085549244083e+00
 4.00000000e+00,        +7.071067811865e+00,        +7.920929203823e+00,        +6.873526670528e-01,        +4.100279002065e+00,        -5.578989505627e+00
 4.50000000e+00,        +7.071067811865e+00,        +8.049202913637e+00,        +6.234637480637e-01,        +3.422729579925e+00,        -5.995069453716e+00
 5.00000000e+00,        +7.071067811865e+00,        +8.154015413855e+00,        +5.308770698869e-01,        +2.707326639852e+00,        -6.330968546169e+00
 5.50000000e+00,        +7.071067811865e+00,        +8.229269634902e+00,        +4.162728401315e-01,        +1.962624758488e+00,        -6.584651076428e+00
 6.00000000e+00,        +7.071067811865e+00,        +8.270618819167e+00,        +2.875080916337e-01,        +1.196803582621e+00,        -6.754583606949e+00
 6.50000000e+00,        +7.071067811865e+00,        +8.275655334472e+00,        +1.531935550230e-01,        +4.178180105057e-01,        -6.839517514992e+00
 7.00000000e+00,        +7.071067811865e+00,        +8.244014081336e+00,        +2.227768963404e-02,        -3.663664791899e-01,        -6.838387128460e+00
 7.50000000e+00,        +7.071067811865e+00,        +8.177414789163e+00,        -9.638951528011e-02,        -1.147520281212e+00,        -6.750323931922e+00
 8.00000000e+00,        +7.071067811865e+00,        +8.079635037068e+00,        -1.944988650542e-01,        -1.916920389122e+00,        -6.574804379602e+00
 8.50000000e+00,        +7.071067811865e+00,        +7.956391519580e+00,        -2.647486824408e-01,        -2.665184078632e+00,        -6.311899806712e+00
 9.00000000e+00,        +7.071067811865e+00,        +7.815135086538e+00,        -3.013115375117e-01,        -3.382223283833e+00,        -5.962613646280e+00
 9.50000000e+00,        +7.071067811865e+00,        +7.664696976807e+00,        -3.002733193553e-01,        -4.057326920879e+00,        -5.529266025497e+00
 1.00000000e+01,        +7.071067811865e+00,        +7.514819403220e+00,        -2.600103121805e-01,        -4.679418017033e+00,        -5.015860428538e+00
 1.05000000e+01,        +7.071067811865e+00,        +7.375549857248e+00,        -1.814471378089e-01,        -5.237462529226e+00,        -4.428371743184e+00
 1.10000000e+01,        +7.071067811865e+00,        +7.256540839890e+00,        -6.814129838533e-02,        -5.721003769340e+00,        -3.774890654402e+00
 1.15000000e+01,        +7.071067811865e+00,        +7.166311126906e+00,        +7.384248654132e-02,        -6.120761808758e+00,        -3.065571052312e+00
 1.20000000e+01,        +7.071067811865e+00,        +7.111560416303e+00,        +2.363108595963e-01,        -6.429222828161e+00,        -2.312363021992e+00
 1.25000000e+01,        +7.071067811865e+00,        +7.096593055139e+00,        +4.094993656267e-01,        -6.641106430651e+00,        -1.528538017093e+00
 1.30000000e+01,        +7.071067811865e+00,        +7.122965878390e+00,        +5.828211959720e-01,        -6.753667823881e+00,        -7.280695572220e-01
 1.35000000e+01,        +7.071067811865e+00,        +7.189374312525e+00,        +7.456765188058e-01,        -6.766760020183e+00,        +7.505402935796e-02
 1.40000000e+01,        +7.071067811865e+00,        +7.291803757584e+00,        +8.882414774194e-01,        -6.682662516436e+00,        +8.674876887529e-01
 1.45000000e+01,        +7.071067811865e+00,        +7.423894228008e+00,        +1.002157587994e+00,        -6.505714238649e+00,        +1.637064556897e+00
 1.50000000e+01,        +7.071067811865e+00,        +7.577476440981e+00,        +1.081040333350e+00,        -6.241804237757e+00,        +2.373158630977e+00
